date,open,high,low,close,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2014-01-31,147.7168,149.1637,147.071,148.1949,5195381,5195381,-0.570365,-0.383,148.2228,"Jan 31, 14",0
2014-02-03,147.6413,147.6413,144.8734,145.0244,7187767,7187767,-3.1706,-2.139,144.8691,"Feb 3, 14",-0.021394123549460718
2014-02-04,145.5528,145.7373,144.5714,144.974,4351180,4351180,-0.050327,-0.035,144.057,"Feb 4, 14",-0.02173421622471489
2014-02-05,144.4288,146.7606,144.4288,146.1483,4714375,4714375,1.1743,0.81,145.4675,"Feb 5, 14",-0.013810191848707236
2014-02-06,146.7218,147.4639,146.57,147.3121,4292478,4292478,1.1638,0.796,147.1182,"Feb 6, 14",-0.0059570201133777425
2014-02-07,148.1302,149.7495,147.6495,149.488,4725647,4725647,2.1759,1.477,146.94,"Feb 7, 14",0.008725671396249194
2014-02-10,149.2519,149.8254,148.6447,149.3953,3544486,3544486,-0.092773,-0.062,149.4656,"Feb 10, 14",0.008100143797121238
2014-02-11,149.117,152.1362,149.1085,151.5543,4654207,4654207,2.159,1.445,151.3929,"Feb 11, 14",0.02266879629460948
2014-02-12,151.4025,152.8615,151.1832,152.0097,3984148,3984148,0.455423,0.301,152.3524,"Feb 12, 14",0.02574177653886888
2014-02-13,150.3061,153.7977,150.0025,153.3591,4482761,4482761,1.3494,0.888,152.7817,"Feb 13, 14",0.03484735304656249
2014-02-14,152.87,155.5435,152.6423,154.9194,4665873,4665873,1.5602,1.017,154.8373,"Feb 14, 14",0.045376055451301
2014-02-18,154.4892,155.1808,153.7639,154.4977,4435484,4435484,-0.421687,-0.272,154.7188,"Feb 18, 14",0.04253047844426508
2014-02-19,154.1182,156.5724,153.8398,154.2953,4671705,4671705,-0.202412,-0.131,155.1941,"Feb 19, 14",0.041164709446816376
2014-02-20,154.3037,155.906,154.1603,155.4001,4968267,4968267,1.1048,0.716,159.1695,"Feb 20, 14",0.04861975682024158
2014-02-21,155.3917,156.623,154.017,154.1603,5699331,5699331,-1.2398,-0.798,154.9378,"Feb 21, 14",0.040253746923814636
2014-02-24,154.1856,156.1591,154.1856,154.717,4595312,4595312,0.556628,0.361,155.3312,"Feb 24, 14",0.044010286453852486
2014-02-25,154.776,155.6868,154.2362,154.5314,3902332,3902332,-0.185543,-0.12,154.7141,"Feb 25, 14",0.04275788168148837
2014-02-26,155.1302,156.2603,154.8097,155.2314,3740884,3740884,0.699999,0.453,155.639,"Feb 26, 14",0.04748139106001636
2014-02-27,155.0374,156.8254,155.0206,156.2519,3827965,3827965,1.0205,0.657,156.2251,"Feb 27, 14",0.05436759294685591
2014-02-28,156.3447,156.9688,154.8856,156.1676,4668452,4668452,-0.084339,-0.054,156.2263,"Feb 28, 14",0.05379874746027025
2014-03-03,154.6158,155.7206,154.1856,155.4001,3950114,3950114,-0.767469,-0.491,154.0021,"Mar 3, 14",0.04861975682024158
2014-03-04,156.7073,157.8459,156.5977,157.2386,4734235,4734235,1.8386,1.183,157.3601,"Mar 4, 14",0.06102571680941788
2014-03-05,157.3483,158.5121,157.2049,157.829,3487359,3487359,0.590364,0.375,157.9195,"Mar 5, 14",0.06500965957667922
2014-03-06,158.023,158.8832,157.6266,158.2507,3817529,3817529,0.421684,0.267,158.5126,"Mar 6, 14",0.06785523658371513
2014-03-07,158.8495,159.3302,157.8627,158.2844,4117826,4117826,0.033737,0.021,158.6155,"Mar 7, 14",0.06808263982093861
2014-03-10,158.1748,158.8664,156.7402,157.1965,4594054,4594054,-1.0879,-0.687,157.4829,"Mar 10, 14",0.0607416314596521
2014-03-11,158.0567,158.9338,156.9013,157.5085,4229679,4229679,0.312046,0.199,157.7857,"Mar 11, 14",0.06284696706836745
2014-03-12,156.876,158.0905,156.7748,157.0531,4833158,4833158,-0.455424,-0.289,157.2429,"Mar 12, 14",0.05977398682410806
2014-03-13,157.2133,157.7109,154.9362,155.0965,4913208,4913208,-1.9566,-1.246,145.9679,"Mar 13, 14",0.046571103324068525
2014-03-14,155.088,155.4254,153.6712,153.6712,5490326,5490326,-1.4253,-0.919,154.4105,"Mar 14, 14",0.03695336344233175
2014-03-17,154.0507,157.1627,154.0507,156.7073,4938754,4938754,3.0361,1.976,156.4038,"Mar 17, 14",0.05744057319111531
2014-03-18,156.8591,158.47,156.4796,157.5507,3961319,3961319,0.843371,0.538,157.7634,"Mar 18, 14",0.06313172720518734
2014-03-19,156.5302,157.4579,154.7592,155.7796,4323930,4323930,-1.7711,-1.124,152.7062,"Mar 19, 14",0.05118057369045762
2014-03-20,155.5772,158.7736,155.3242,158.47,5062629,5062629,2.6904,1.727,157.7254,"Mar 20, 14",0.06933504459330253
2014-03-21,158.976,159.1447,157.2049,157.4326,12535281,12535281,-1.0373,-0.655,153.5608,"Mar 21, 14",0.06233480369432429
2014-03-24,158.0736,159.7688,158.023,158.7652,5738492,5738492,1.3325,0.846,158.865,"Mar 24, 14",0.07132701597693311
2014-03-25,159.1953,164.7911,159.1447,164.4917,10912699,10912699,5.7265,3.607,162.9966,"Mar 25, 14",0.10996869662856158
2014-03-26,164.4411,164.9892,161.8941,162.4507,6851772,6851772,-2.041,-1.241,162.7647,"Mar 26, 14",0.09619629285488247
2014-03-27,161.8519,162.4929,159.6692,160.0977,6767653,6767653,-2.353,-1.448,159.6483,"Mar 27, 14",0.08031855347248802
2014-03-28,160.1905,162.4507,159.4905,160.6206,5194443,5194443,0.52289,0.327,161.026,"Mar 28, 14",0.08384701497824829
2014-03-31,161.6242,163.4206,161.4218,162.3411,8537746,8537746,1.7205,1.071,162.5338,"Mar 31, 14",0.09545672624361583
2014-04-01,162.8724,164.5676,162.5856,164.0362,5395346,5395346,1.6952,1.044,163.8431,"Apr 1, 14",0.10689504159724808
2014-04-02,163.817,164.0362,162.3411,163.235,4924073,4924073,-0.801206,-0.488,167.9897,"Apr 2, 14",0.10148864771999593
2014-04-03,162.9399,163.0917,162.223,162.5097,4091060,4091060,-0.725304,-0.444,162.6422,"Apr 3, 14",0.09659441721678695
2014-04-04,162.8724,163.5892,161.3206,161.7338,6090863,6090863,-0.775903,-0.477,162.4992,"Apr 4, 14",0.0913587444642158
2014-04-07,161.6917,164.7185,161.5652,164.0531,6747080,6747080,2.3193,1.434,163.6594,"Apr 7, 14",0.10700908060938677
2014-04-08,163.5218,163.7558,162.5096,163.0158,5125001,5125001,-1.0374,-0.632,163.1218,"Apr 8, 14",0.10000951449746262
2014-04-09,163.5133,166.1447,163.2772,165.8411,5485124,5485124,2.8253,1.733,164.9302,"Apr 9, 14",0.11907427313625518
2014-04-10,165.3519,168.0085,165.0146,165.0314,8425601,8425601,-0.809641,-0.488,166.3881,"Apr 10, 14",0.11361052235940644
2014-04-11,164.4917,166.1447,163.8423,164.6182,4835214,4835214,-0.413252,-0.25,166.0042,"Apr 11, 14",0.11082230225196692
2014-04-14,165.5037,167.1905,165.2001,166.7941,5433621,5433621,2.1759,1.322,166.5587,"Apr 14, 14",0.12550499376159366
2014-04-15,165.2844,166.4905,164.8121,166.1615,5353177,5353177,-0.632531,-0.379,165.8144,"Apr 15, 14",0.12123629085751264
2014-04-16,167.0302,167.5868,164.4579,165.6387,8527295,8527295,-0.522892,-0.315,165.3322,"Apr 16, 14",0.11770850413880647
2014-04-17,157.9218,160.8314,157.7194,160.2495,11255493,11255493,-5.3892,-3.254,160.2541,"Apr 17, 14",0.08134288022057455
2014-04-21,160.0724,162.6067,160.0218,162.1555,5425283,5425283,1.906,1.189,161.9862,"Apr 21, 14",0.09420432147125171
2014-04-22,161.9362,162.7712,161.2531,162.0543,3878619,3878619,-0.101204,-0.062,162.0345,"Apr 22, 14",0.09352143697252754
